source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,2249,1481,768,23826310.98,105556161.19
2011,1861,1231,630,19762585.12,99409588.35
2012,1590,1028,562,16161063.47,65579385.62
2013,2228,1387,841,22867338.17,117534273.05
2014,2469,1505,964,24459078.73,172374322.56
2015,3161,1748,1413,28453840.44,384088926.71
2016,2965,1635,1330,26290589.48,486702188.52
2017,2926,1532,1394,24819565.55,473869019.29
2018,2826,1531,1295,24636169.64,491879830.26
2019,2591,1495,1096,24591541.14,451378794.26
