source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,157,93,16,48,1390565.17,398557.68,2604759.14
2011,81,42,9,30,666387.79,224874.66,1794664.14
2012,70,38,9,23,613823.35,221872.63,1535373.43
2013,92,43,5,44,681948.16,123261.02,2638740.92
2014,67,39,5,23,642535.71,124383.00,1173137.31
2015,52,20,4,28,312855.70,100099.00,1659334.25
2016,78,34,7,37,535694.15,175857.30,3447738.37
2017,73,36,9,28,572240.38,221320.16,1512479.15
2018,66,34,9,23,533580.52,225937.77,1260213.28
2019,96,48,11,37,780622.73,272782.09,2721107.78
