owner_acronym,source_year,total_entries,total_contracts,total_amendments
agr,2013,6,6,0
agr,2014,4,3,1
agr,2016,1,1,0
agr,2017,2,2,0
agr,2018,2,2,0
cfia,2017,1,1,0
csc,2015,1,1,0
csc,2019,3,3,0
dfo,2010,1,1,0
dfo,2012,1,1,0
dfo,2013,5,3,2
dfo,2014,2,2,0
dfo,2015,2,1,1
dfo,2016,3,2,1
dnd,2010,9,7,2
dnd,2011,26,26,0
dnd,2012,14,14,0
dnd,2013,12,10,2
dnd,2014,18,16,2
dnd,2015,20,17,3
dnd,2016,12,11,1
dnd,2017,6,6,0
dnd,2018,7,7,0
dnd,2019,5,4,1
ec,2010,2,2,0
gac,2012,1,1,0
hc,2010,3,3,0
hc,2011,3,3,0
hc,2012,3,3,0
hc,2013,1,1,0
hc,2015,4,4,0
hc,2019,1,1,0
ic,2010,1,1,0
isc,2017,1,1,0
isc,2019,2,2,0
nrc,2010,10,10,0
nrc,2011,6,5,1
nrc,2012,11,11,0
nrc,2013,15,15,0
nrc,2014,12,12,0
nrc,2015,6,6,0
nrc,2016,14,14,0
nrc,2017,14,13,1
nrc,2018,10,10,0
nrc,2019,15,11,4
nrcan,2012,1,1,0
phac,2010,3,3,0
phac,2011,3,3,0
phac,2012,3,3,0
phac,2013,1,1,0
phac,2015,4,4,0
phac,2016,2,2,0
phac,2017,2,2,0
phac,2019,2,1,1
pspc,2010,9,8,1
pspc,2012,1,1,0
pspc,2013,2,0,2
rcmp,2010,2,2,0
rcmp,2011,2,2,0
rcmp,2012,1,1,0
rcmp,2013,1,1,0
rcmp,2014,3,3,0
rcmp,2015,1,1,0
rcmp,2018,1,1,0
rcmp,2019,1,1,0
tc,2019,1,1,0
tsb,2018,1,1,0
