source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,293,165,27,101,2552715.21,666826.21,16915876.77
2011,246,130,21,95,1984564.45,520337.06,15075785.90
2012,156,86,22,48,1329659.93,544280.77,4265153.35
2013,200,107,22,71,1630441.63,541015.46,14481137.46
2014,130,69,16,45,1087777.25,395245.75,7061242.13
2015,158,84,20,54,1279054.03,493309.13,4564940.13
2016,256,129,30,97,1940001.12,744116.20,20861035.06
2017,331,169,46,116,2800929.23,1139638.64,35860752.92
2018,358,178,38,142,2818900.25,944674.07,30044023.47
2019,330,122,61,147,2047190.20,1521117.47,22275657.44
