owner_acronym,source_year,total_entries,total_contracts,total_amendments
acoa,2016,1,1,0
acoa,2017,1,1,0
agr,2016,1,1,0
agr,2017,1,1,0
agr,2018,1,1,0
agr,2019,2,2,0
atssc,2018,2,1,1
atssc,2019,1,0,1
cbsa,2019,1,1,0
ced,2010,2,2,0
ced,2011,1,1,0
cfia,2014,1,1,0
cfia,2016,1,1,0
cfia,2017,2,2,0
cfia,2018,3,2,1
cfia,2019,2,2,0
chrc,2019,2,1,1
cihr,2016,1,1,0
cihr,2019,1,1,0
cnsc,2013,1,1,0
cnsc,2015,2,2,0
cnsc,2016,1,1,0
cnsc,2017,1,1,0
cnsc,2018,1,1,0
cnsc,2019,1,1,0
cra,2010,2,1,1
cra,2011,1,0,1
cra,2013,1,1,0
cra,2016,1,1,0
cra,2018,2,2,0
cra,2019,1,1,0
crtc,2018,1,1,0
csa,2010,2,2,0
csa,2011,1,1,0
csa,2012,3,3,0
csa,2013,2,2,0
csa,2014,2,2,0
csa,2016,1,1,0
csa,2017,1,1,0
csa,2018,1,1,0
csa,2019,1,1,0
csc,2013,1,1,0
csc,2017,2,2,0
dfo,2010,3,3,0
dfo,2011,2,2,0
dfo,2012,3,3,0
dfo,2014,1,1,0
dfo,2017,1,1,0
dnd,2010,1,0,1
dnd,2011,3,3,0
dnd,2013,5,5,0
dnd,2014,3,3,0
dnd,2016,2,2,0
dnd,2017,4,4,0
dnd,2018,3,2,1
dnd,2019,4,3,1
ec,2010,1,1,0
ec,2011,1,0,1
ec,2012,1,0,1
ec,2013,2,1,1
esdc,2010,1,1,0
esdc,2011,1,1,0
esdc,2014,2,2,0
esdc,2016,2,2,0
esdc,2017,1,0,1
esdc,2018,2,2,0
esdc,2019,2,2,0
feddev,2013,1,1,0
fja,2010,1,1,0
fja,2011,1,1,0
fja,2012,1,1,0
fja,2013,1,1,0
fja,2014,1,1,0
fja,2017,1,1,0
fja,2018,1,1,0
fja,2019,1,1,0
gac,2010,3,3,0
gac,2011,1,1,0
gac,2012,2,2,0
gac,2014,1,0,1
gac,2016,2,2,0
gac,2017,1,1,0
gac,2018,1,1,0
gac,2019,2,2,0
hc,2011,2,2,0
hc,2017,3,2,1
hc,2018,4,4,0
hc,2019,1,1,0
iaac,2013,1,1,0
iaac,2016,1,1,0
iaac,2018,1,1,0
iaac,2019,2,0,2
ic,2011,1,1,0
ic,2012,7,7,0
ic,2013,12,12,0
ic,2014,2,2,0
ic,2015,4,4,0
ic,2016,8,8,0
ic,2017,6,4,2
ic,2018,10,6,4
ic,2019,7,6,1
inac,2013,2,2,0
inac,2014,3,3,0
inac,2017,3,3,0
inac,2018,1,1,0
inac,2019,1,1,0
ircc,2010,1,1,0
ircc,2011,4,4,0
ircc,2012,2,2,0
ircc,2013,2,1,1
ircc,2014,3,2,1
ircc,2016,2,0,2
ircc,2017,1,1,0
ircc,2019,1,1,0
isc,2018,3,3,0
just,2012,1,1,0
just,2014,1,1,0
nrc,2015,1,1,0
nrc,2016,1,1,0
nrc,2017,1,1,0
nrc,2018,1,1,0
nrc,2019,1,1,0
nrcan,2011,3,3,0
nrcan,2012,5,5,0
nrcan,2013,3,2,1
nrcan,2014,2,2,0
nrcan,2015,4,4,0
nrcan,2016,5,5,0
nrcan,2017,4,4,0
nrcan,2018,5,5,0
nrcan,2019,2,1,1
nserc,2017,1,1,0
oag,2016,1,1,0
oag,2017,1,1,0
oag,2018,1,1,0
oag,2019,2,2,0
ocol,2017,1,1,0
ocol,2018,1,1,0
pch,2010,1,1,0
pch,2011,1,1,0
pch,2012,1,1,0
pch,2013,2,1,1
pch,2014,1,1,0
pch,2015,1,1,0
pch,2016,1,1,0
pch,2017,1,1,0
pch,2019,2,1,1
pco,2011,1,1,0
pco,2012,1,1,0
pco,2013,1,1,0
phac,2011,2,2,0
phac,2017,2,2,0
phac,2018,4,3,1
phac,2019,2,1,1
ps,2011,1,1,0
ps,2013,1,1,0
ps,2015,1,1,0
ps,2018,1,1,0
pspc,2010,6,5,1
pspc,2011,8,8,0
pspc,2012,3,3,0
pspc,2013,4,4,0
pspc,2014,3,1,2
pspc,2015,4,3,1
pspc,2016,7,3,4
pspc,2017,4,1,3
pspc,2018,9,5,4
pspc,2019,5,2,3
rcmp,2010,2,2,0
rcmp,2011,2,2,0
rcmp,2012,1,1,0
rcmp,2013,1,1,0
rcmp,2014,2,2,0
rcmp,2015,1,0,1
rcmp,2016,1,0,1
rcmp,2017,1,0,1
rcmp,2018,1,0,1
ssc,2012,4,2,2
ssc,2013,2,2,0
ssc,2014,2,2,0
ssc,2015,1,1,0
ssc,2016,1,1,0
ssc,2019,2,2,0
stats,2011,3,3,0
stats,2012,3,3,0
stats,2013,2,2,0
stats,2014,3,3,0
stats,2015,1,1,0
stats,2016,4,4,0
stats,2017,3,3,0
stats,2019,5,5,0
tbs,2015,2,2,0
tbs,2018,1,1,0
tc,2012,1,1,0
tc,2013,1,1,0
tc,2014,1,1,0
tc,2015,1,1,0
tc,2016,1,0,1
tc,2017,1,1,0
tc,2018,1,1,0
vac,2017,1,1,0
vac,2019,1,1,0
wd,2018,1,1,0
wd,2019,1,1,0
