source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,137,81,16,40,1133130.18,395946.52,3328659.28
2011,99,57,8,34,846819.81,197935.00,2521567.67
2012,70,42,6,22,573474.24,148411.20,3497995.11
2013,69,45,3,21,684326.19,73110.95,1419886.44
2014,51,28,0,23,401603.69,0.00,2008136.98
2015,46,27,2,17,384479.34,50685.33,2035603.98
2016,68,33,3,32,491702.83,74000.33,2184313.98
2017,53,30,5,18,449978.46,124367.68,1856585.23
2018,39,21,2,16,322597.21,49291.28,1140609.47
2019,51,23,0,28,330981.50,0.00,1914940.96
