source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,351,199,21,131,3240935.12,516860.03,13861202.84
2011,261,120,23,118,2021821.83,570667.37,16645813.32
2012,154,82,8,64,1323395.33,198650.51,10021371.00
2013,205,114,6,85,1899332.13,147566.13,11928349.70
2014,348,171,39,138,2717238.92,967200.44,23610246.33
2015,322,176,23,123,2876252.69,570655.64,15905557.44
2016,451,233,38,180,3774279.01,944961.86,25652652.30
2017,492,247,47,198,3962418.66,1161793.48,22584237.61
2018,245,128,22,95,2011910.33,546432.45,14467757.19
2019,369,191,36,142,3137954.36,892770.03,13842610.73
