source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,351,218,133,3707152.72,13911845.27
2011,261,138,123,2465465.14,16772837.38
2012,154,88,66,1471412.84,10072004.00
2013,205,120,85,2046898.26,11928349.70
2014,348,206,142,3581764.33,23712921.36
2015,322,198,124,3421689.10,15930776.67
2016,451,263,188,4514711.79,25857181.38
2017,492,290,202,5022709.78,22685739.97
2018,245,148,97,2507729.86,14518370.11
2019,369,221,148,3877500.21,13995834.91
