source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,3145,1616,202,1327,26212430.70,5007154.00,300204761.58
2011,3010,1502,176,1332,23962011.01,4370583.85,302064559.29
2012,2645,1221,154,1270,19873583.27,3820006.98,363408980.21
2013,2766,1304,170,1292,20803996.52,4222942.23,314122059.25
2014,2697,1260,155,1282,20016836.58,3839851.65,348371423.45
2015,2971,1321,174,1476,21219561.22,4314594.84,367092636.80
2016,3078,1437,154,1487,22808174.35,3819750.27,423475182.49
2017,3264,1381,156,1727,22082280.98,3867656.01,549850432.74
2018,3159,1312,199,1648,20966862.62,4929741.01,541821101.31
2019,2911,1209,168,1534,19246554.13,4163753.32,479975406.01
